Item,Price,Type,Category,Ethnicity,Hotel_Name,Uploaded_by
Rava Dosa,40,Veg,Breakfast,South Indian,Guru's Tiffen,bangalorefoodiee
Champaran Mutton/ahuna,339,Non Veg,Curry,Bihar,Dhaba Square,bangalorefoodiee
Idly,40,Veg,Breakfast,South Indian,The Rameshwaram Cafe,bangalorefoodiee
Donne Biriyani,99,Non Veg,Main Course,Karnataka,Royal Donne Biriyani,nimma_thindipotha
Tawa Fish Fry,50,Non Veg,Starter,Coast,CHIRU SOWDE OLE FISH THAVA FRY,nimma_thindipotha
"Kushka,Kabab,Chicken fry Combo",120,Non Veg,Main Course,Turkey,Somu Chicken Kabab Center,nimma_thindipotha
Mango Meal,350,Veg,Main Course,Karnataka,Halli Mane,bengalurufoodchronicles
Mango Milkshake,20,Veg,Milkshake,Karnataka,Fresho by Big Basket,bengalurufoodchronicles
Ghee Sambar Button Idli,70,Veg,Breakfast,Karnataka,Srirangam Cafe,bengalurufoodchronicles
Mushroom Dum Biriyani,80,Veg,Main Course,Karnataka,Sri Mahadeshwara Mushroom Dum Biryani,bengalurufoodwalks
Dry Gobi,60,Veg,Snack,Chinese,Usman Dry Gobi,bengalurufoodwalks
Gobi Noodles,80,Veg,Snack,Chinese,Murugan Cafe,food_and_bengaluru
Cheesy Burger,180,Veg,Fast Food,USA,Grub Monkeys Kammanahalli,food_and_bengaluru
Vadapav,20,Veg,Snack,Bombay,Bombay Sandwich and Vadapav,bangaloreepicure
